Date,Day,Meal Type,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,Item 11,Item 12,Item 13,Item 14,Item 15,Item 16,Item 17,Item 18,Item 19,Item 20,Item 21,Item 22,Item 23,Item 24
2025-03-01,Saturday,Breakfast,Missal Pav,Lemon Wedges,Pav,Banana,Tea,Coffee,,,,,,,,,,,,,,,,,,
2025-03-01,Saturday,Lunch,Cucumber Salad,Onion,Lemon,Bhindi Onion Dry,Veg Kofta Curry,Dal Palak,Rice,Chapati,Papad,Pickle,,,,,,,,,,,,,,
2025-03-01,Saturday,Snacks,Aloo Papdi Chaat,Green Chutney,Imli Chutney,Ketchup,Tea,Coffee,,,,,,,,,,,,,,,,,,
2025-03-01,Saturday,Dinner,Koshimibir Salad,Onion,Lemon,Sindhi Kadi,Onion Tadka Rice,Moong Dal Methi,Jeera Aloo,Chapati,Papad,Pickle,,,,,,,,,,,,,,
2025-03-02,Sunday,Brunch,Eggs To Order,Aloo Paratha,Curd,Tea,Coffee,Corn Flakes,Hot & Cold Milk,Jam,Butter,Kimchi Salad,Chicken Pahadi Masala,Paneer Lababdar,Dal Fry,Chapati,Papad,Pickle,Veg Hakka Noodles,,,,,,,
2025-03-02,Sunday,Snacks,Butter Corn,Ketchup,Tea,Coffee,,,,,,,,,,,,,,,,,,,,
2025-03-02,Sunday,Dinner,Tossed Salad,Onion,Lemon,Chawli Masaal,Mix Veg Dry,Varan,Steam Rice,Phulka,Papad,Pickle,Jalebi,,,,,,,,,,,,,
2025-03-03,Monday,Breakfast,Peanut Aloo Poha,Sabudana Khichdi,Lemon & Sev,Banana,Tea,Coffee,,,,,,,,,,,,,,,,,,
2025-03-03,Monday,Lunch,Beet Salad,Onion,Lemon,Matki Dry,Veg Makhanwala,Dal Lasooni,Rice,Chapati,Curd,Papad,Pickle,,,,,,,,,,,,,
2025-03-03,Monday,Snacks,Vada Pav,Green Chutney,Ketchup,Tea,Coffee,,,,,,,,,,,,,,,,,,,
2025-03-03,Monday,Dinner,Stick Salad,Onion,Lemon,Aloo Beans Dry,Mushroom Masala,Dal Makhani,Steam Rice,Chapati,Papad,Pickle,,,,,,,,,,,,,,
2025-03-04,Tuesday,Breakfast,Masala Uttapam,Sambhar,Coconut Chutney,Banana,Tea,Coffee,,,,,,,,,,,,,,,,,,
2025-03-04,Tuesday,Lunch,Mix Veg Salad,Onion,Lemon,Gobi Mutter,Rajma Masala Masala,Dal Fry,Steam Rice,Pulaka,Curd,Papad,Pickle,,,,,,,,,,,,,
2025-03-04,Tuesday,Snacks,Vermicelli Upma,Coconut Chutney,Ketchup,Tea,Coffee,,,,,,,,,,,,,,,,,,,
2025-03-04,Tuesday,Dinner,Koshimibir Salad,Onion,Lemon,Soya Dum,Veg Bhuna,Moong Dal,Steam Rice,Chapati,Papad,Pickle,,,,,,,,,,,,,,
2025-03-05,Wednesday,Breakfast,Bombay Sandwich,Masala Omelette,Bread (Brown/White Option),Butter,Jam,Tea,Coffee,,,,,,,,,,,,,,,,,
2025-03-05,Wednesday,Lunch,Sprouted Salad,Onion,Lemon,Baingan Masala,Aloo Matar,Dal Panchrathan,Rice,Chapati,Curd,Papad,Pickle,,,,,,,,,,,,,
2025-03-05,Wednesday,Snacks,Maggi,Ketchup,Tea,Coffee,,,,,,,,,,,,,,,,,,,,
2025-03-05,Wednesday,Dinner,Cucumber Carrot Salad,Onion,Lemon,Chicken Gavran,Paneer Gavran,Moong Dal,Steam Rice,Chapati,Papad,Pickle,Gulab Jamun,,,,,,,,,,,,,
2025-03-06,Thursday,Breakfast,Methi Thepla,Curd,Tea,Coffee,,,,,,,,,,,,,,,,,,,,
2025-03-06,Thursday,Lunch,Corn & Anar Salad,Onion,Lemon,Beans Poriyal,Sambhar,Aloo Rassa,Lemon Rice,Chapati,Curd,Papad,Pickle,,,,,,,,,,,,,
2025-03-06,Thursday,Snacks,Khaman Dhokla,Green Chutney,Imli Chutney,Ketchup,Tea,Coffee,,,,,,,,,,,,,,,,,,
2025-03-06,Thursday,Dinner,Koshimibir Salad,Onion,Lemon,Puri,Bhaji,Veg Masala Khichdi,Papad,Pickle,,,,,,,,,,,,,,,,
