2025-03-01,Saturday,Lunch,Bhindi Onion Dry
2025-03-01,Saturday,Snacks,Aloo Papdi Chaat
2025-03-01,Saturday,Dinner,Sindhi Kadi
2025-03-02,Sunday,Brunch,Aloo paratha
2025-03-02,Sunday,Snacks,Butter corn
2025-03-02,Sunday,Dinner,Chawali masala
2025-03-03,Monday,Breakfast,Peanut Aloo Poha
2025-03-03,Monday,Lunch,Veg makhanwala
2025-03-03,Monday,Snacks,Vada Pav
2025-03-03,Monday,Dinner,Aloo beans Dry
2025-03-04,Tuesday,Breakfast,Masala Uttapam
2025-03-04,Tuesday,Lunch,Gobi Mutter
2025-03-04,Tuesday,Snacks,Vermicelli Upma
2025-03-04,Tuesday,Dinner,Veg Bhuna
2025-03-05,Wednesday,Breakfast,Bombay Sandwich
2025-03-05,Wednesday,Lunch,Baigan Masala
2025-03-05,Wednesday,Snacks,Maggi
2025-03-05,Wednesday,Dinner,Chicken Gavran
2025-03-06,Thursday,Breakfast,Methi Thepla
2025-03-06,Thursday,Lunch,Beans Poriyal
2025-03-06,Thursday,Snacks,Khaman Dhokla
2025-03-06,Thursday,Dinner,Veg Masala Khichdi
2025-03-07,Friday,Breakfast,Paneer Bhurji
2025-03-07,Friday,Lunch,Bengali Cholar Dal
2025-03-07,Friday,Snacks,Masala Poha
2025-03-07,Friday,Dinner,Palak Kofta
2025-03-08,Saturday,Breakfast,Idli
2025-03-08,Saturday,Lunch,Louki Chana Dry
2025-03-08,Saturday,Snacks,Soy Manchurian Dry
2025-03-08,Saturday,Dinner,Veg Maharaja
2025-03-09,Sunday,Breakfast,Chicken Biryani
2025-03-09,Sunday,Snacks,Bombay Murmura Bhel
2025-03-09,Sunday,Dinner,Aloo Sabji Khatri Dry
2025-03-10,Monday,Breakfast,Peanut Aloo Poha
2025-03-10,Monday,Lunch,Tendli Masala
2025-03-10,Monday,Snacks,Onion Bhaji
2025-03-10,Monday,Dinner,Aloo Palak Lassoni Dry
2025-03-11,Tuesday,Breakfast,Medu wada
2025-03-11,Tuesday,Lunch,Maharashtrian Kadhi
2025-03-11,Tuesday,Snacks,Mix veg maggie
2025-03-11,Tuesday,Dinner,Pav Bhaji
2025-03-12,Wednesday,Breakfast,Coleslaw sandwich
2025-03-12,Wednesday,Lunch,Veg Masala Khichdi
2025-03-12,Wednesday,Snacks,Vermicelli Upma
2025-03-12,Wednesday,Dinner,Chicken Biryani
2025-03-13,Thursday,Breakfast,Masala Uttapam
2025-03-13,Thursday,Lunch,Gatte ki sabji
2025-03-13,Thursday,Snacks,Khaman dhokla
2025-03-13,Thursday,Dinner,Veg Lasagne
2025-03-14,Friday,Breakfast,Besan chilla
2025-03-14,Friday,Lunch,Turai Moong Dry
2025-03-14,Friday,Snacks,Sabudana Wada
2025-03-14,Friday,Dinner,Chicken Kalimiri
2025-03-15,Saturday,Breakfast,Missi Roti
2025-03-15,Saturday,Lunch,Masala Pulao
2025-03-15,Saturday,Snacks,Chutney Sandwich
2025-03-15,Saturday,Dinner,Bhindi Kurkura
2025-03-16,Sunday,Brunch,Aloo paratha
2025-03-16,Sunday,Snacks,Gobi Mutter dry
2025-03-16,Sunday,Dinner,Chawali masala
2025-03-17,Monday,Breakfast,Aloo mutter
